INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;C_X;C_Y;NOM_PROV;LONGITUD;LATITUD;HU00;HU07;HU13;HU18;HUMAX;HUMIN;
B013X;2022;9;1;LLUC;490;1003867;4424762;BALEARES;253091;394924;91;93;85;83;99;45;
B013X;2022;9;2;LLUC;490;1003867;4424762;BALEARES;253091;394924;96;93;85;72;99;38;
B013X;2022;9;3;LLUC;490;1003867;4424762;BALEARES;253091;394924;79;94;85;88;98;43;
B013X;2022;9;4;LLUC;490;1003867;4424762;BALEARES;253091;394924;84;84;85;62;96;36;
B013X;2022;9;5;LLUC;490;1003867;4424762;BALEARES;253091;394924;47;46;85;80;95;40;
B013X;2022;9;6;LLUC;490;1003867;4424762;BALEARES;253091;394924;95;0;85;75;99;34;
B013X;2022;9;7;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;82;85;77;90;43;
B013X;2022;9;8;LLUC;490;1003867;4424762;BALEARES;253091;394924;80;97;85;82;99;58;
B013X;2022;9;9;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;99;85;83;99;43;
B013X;2022;9;10;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;0;85;72;99;53;
B013X;2022;9;11;LLUC;490;1003867;4424762;BALEARES;253091;394924;86;98;85;73;99;40;
B013X;2022;9;12;LLUC;490;1003867;4424762;BALEARES;253091;394924;73;45;85;55;78;26;
B013X;2022;9;13;LLUC;490;1003867;4424762;BALEARES;253091;394924;43;69;85;61;91;30;
B013X;2022;9;14;LLUC;490;1003867;4424762;BALEARES;253091;394924;41;83;85;84;91;29;
B013X;2022;9;15;LLUC;490;1003867;4424762;BALEARES;253091;394924;88;92;85;73;96;33;
B013X;2022;9;16;LLUC;490;1003867;4424762;BALEARES;253091;394924;95;99;85;94;99;62;
B013X;2022;9;17;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;98;85;84;99;78;
B013X;2022;9;18;LLUC;490;1003867;4424762;BALEARES;253091;394924;93;86;85;78;97;59;
B013X;2022;9;19;LLUC;490;1003867;4424762;BALEARES;253091;394924;83;0;85;58;99;33;
