INDICATIVO;A�O;MES;DIA;NOMBRE;ALTITUD;C_X;C_Y;NOM_PROV;LONGITUD;LATITUD;HU00;HU07;HU13;HU18;HUMAX;HUMIN
B013X;2022;9;1;LLUC;490;1003867;4424762;BALEARES;253091;394924;91;93;61;83;99;45
B013X;2022;9;2;LLUC;490;1003867;4424762;BALEARES;253091;394924;96;93;46;72;99;38
B013X;2022;9;3;LLUC;490;1003867;4424762;BALEARES;253091;394924;79;94;61;88;98;43
B013X;2022;9;4;LLUC;490;1003867;4424762;BALEARES;253091;394924;84;84;37;62;96;36
B013X;2022;9;5;LLUC;490;1003867;4424762;BALEARES;253091;394924;47;46;52;80;95;40
B013X;2022;9;6;LLUC;490;1003867;4424762;BALEARES;253091;394924;95;91;43;75;99;34
B013X;2022;9;7;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;82;54;77;90;43
B013X;2022;9;8;LLUC;490;1003867;4424762;BALEARES;253091;394924;80;97;79;82;99;58
B013X;2022;9;9;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;99;76;83;99;43
B013X;2022;9;10;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;91;53;72;99;53
B013X;2022;9;11;LLUC;490;1003867;4424762;BALEARES;253091;394924;86;98;43;73;99;40
B013X;2022;9;12;LLUC;490;1003867;4424762;BALEARES;253091;394924;73;45;39;55;78;26
B013X;2022;9;13;LLUC;490;1003867;4424762;BALEARES;253091;394924;43;69;69;61;91;30
B013X;2022;9;14;LLUC;490;1003867;4424762;BALEARES;253091;394924;41;83;77;84;91;29
B013X;2022;9;15;LLUC;490;1003867;4424762;BALEARES;253091;394924;88;92;49;73;96;33
B013X;2022;9;16;LLUC;490;1003867;4424762;BALEARES;253091;394924;95;99;97;94;99;62
B013X;2022;9;17;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;98;80;84;99;78
B013X;2022;9;18;LLUC;490;1003867;4424762;BALEARES;253091;394924;93;86;63;78;97;59
B013X;2022;9;19;LLUC;490;1003867;4424762;BALEARES;253091;394924;83;91;50;58;99;33
B013X;2022;9;20;LLUC;490;1003867;4424762;BALEARES;253091;394924;84;98;56;85;98;42
B013X;2022;9;21;LLUC;490;1003867;4424762;BALEARES;253091;394924;92;99;71;79;99;62
B013X;2022;9;22;LLUC;490;1003867;4424762;BALEARES;253091;394924;88;83;58;84;99;57
B013X;2022;9;23;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;52;77;99;49
B013X;2022;9;24;LLUC;490;1003867;4424762;BALEARES;253091;394924;81;99;61;79;99;56
B013X;2022;9;25;LLUC;490;1003867;4424762;BALEARES;253091;394924;90;99;83;91;99;80
B013X;2022;9;26;LLUC;490;1003867;4424762;BALEARES;253091;394924;96;99;64;87;99;61
B013X;2022;9;27;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;65;68;74;99;58
B013X;2022;9;28;LLUC;490;1003867;4424762;BALEARES;253091;394924;74;76;60;57;91;52
B013X;2022;9;29;LLUC;490;1003867;4424762;BALEARES;253091;394924;91;70;54;81;96;51
B013X;2022;9;30;LLUC;490;1003867;4424762;BALEARES;253091;394924;96;99;72;91;99;67
B013X;2022;10;1;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;55;86;99;55
B013X;2022;10;2;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;64;83;99;53
B013X;2022;10;3;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;60;93;99;39
B013X;2022;10;4;LLUC;490;1003867;4424762;BALEARES;253091;394924;91;99;79;90;99;56
B013X;2022;10;5;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;61;86;99;52
B013X;2022;10;6;LLUC;490;1003867;4424762;BALEARES;253091;394924;98;99;99;96;99;83
B013X;2022;10;7;LLUC;490;1003867;4424762;BALEARES;253091;394924;97;99;87;96;99;72
B013X;2022;10;8;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;85;99;99;73
B013X;2022;10;9;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;63;92;99;61
B013X;2022;10;10;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;71;96;99;65
B013X;2022;10;11;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;80;99;99;73
B013X;2022;10;12;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;98;99;99;93
B013X;2022;10;13;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;79;96;99;66
B013X;2022;10;14;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;51;92;99;41
B013X;2022;10;15;LLUC;490;1003867;4424762;BALEARES;253091;394924;98;99;47;37;99;36
B013X;2022;10;16;LLUC;490;1003867;4424762;BALEARES;253091;394924;58;81;58;94;99;40
B013X;2022;10;17;LLUC;490;1003867;4424762;BALEARES;253091;394924;80;94;78;93;99;63
B013X;2022;10;18;LLUC;490;1003867;4424762;BALEARES;253091;394924;98;99;73;96;99;68
B013X;2022;10;19;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;67;89;99;32
B013X;2022;10;20;LLUC;490;1003867;4424762;BALEARES;253091;394924;32;84;56;88;96;29
B013X;2022;10;21;LLUC;490;1003867;4424762;BALEARES;253091;394924;39;92;51;93;96;39
B013X;2022;10;22;LLUC;490;1003867;4424762;BALEARES;253091;394924;72;80;51;46;92;39
B013X;2022;10;23;LLUC;490;1003867;4424762;BALEARES;253091;394924;59;37;29;36;67;20
B013X;2022;10;24;LLUC;490;1003867;4424762;BALEARES;253091;394924;24;33;23;37;56;15
B013X;2022;10;25;LLUC;490;1003867;4424762;BALEARES;253091;394924;55;55;19;22;62;15
B013X;2022;10;26;LLUC;490;1003867;4424762;BALEARES;253091;394924;49;66;17;56;73;14
B013X;2022;10;27;LLUC;490;1003867;4424762;BALEARES;253091;394924;35;79;32;82;91;29
B013X;2022;10;28;LLUC;490;1003867;4424762;BALEARES;253091;394924;83;91;29;88;92;25
B013X;2022;10;29;LLUC;490;1003867;4424762;BALEARES;253091;394924;60;83;31;95;96;25
B013X;2022;10;30;LLUC;490;1003867;4424762;BALEARES;253091;394924;96;97;54;91;99;52
B013X;2022;10;31;LLUC;490;1003867;4424762;BALEARES;253091;394924;88;99;64;91;99;62
B013X;2022;11;1;LLUC;490;1003867;4424762;BALEARES;253091;394924;94;97;88;96;99;45
B013X;2022;11;2;LLUC;490;1003867;4424762;BALEARES;253091;394924;96;99;68;92;99;59
B013X;2022;11;3;LLUC;490;1003867;4424762;BALEARES;253091;394924;94;99;75;77;99;50
B013X;2022;11;4;LLUC;490;1003867;4424762;BALEARES;253091;394924;NA;74;56;56;99;50
B013X;2022;11;5;LLUC;490;1003867;4424762;BALEARES;253091;394924;74;73;53;95;99;43
B013X;2022;11;6;LLUC;490;1003867;4424762;BALEARES;253091;394924;98;98;54;96;99;41
B013X;2022;11;7;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;57;87;99;54
B013X;2022;11;8;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;65;95;99;61
B013X;2022;11;9;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;61;90;99;42
B013X;2022;11;10;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;99;99;99;90
B013X;2022;11;11;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;98;87;94;99;78
B013X;2022;11;12;LLUC;490;1003867;4424762;BALEARES;253091;394924;92;93;82;97;99;79
B013X;2022;11;13;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;59;98;99;42
B013X;2022;11;14;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;65;93;99;61
B013X;2022;11;15;LLUC;490;1003867;4424762;BALEARES;253091;394924;95;77;66;70;96;56
B013X;2022;11;16;LLUC;490;1003867;4424762;BALEARES;253091;394924;68;98;88;83;99;68
B013X;2022;11;17;LLUC;490;1003867;4424762;BALEARES;253091;394924;93;99;76;80;99;68
B013X;2022;11;18;LLUC;490;1003867;4424762;BALEARES;253091;394924;81;80;74;96;99;61
B013X;2022;11;19;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;87;99;99;81
B013X;2022;11;20;LLUC;490;1003867;4424762;BALEARES;253091;394924;98;99;68;75;99;63
B013X;2022;11;21;LLUC;490;1003867;4424762;BALEARES;253091;394924;87;99;71;95;99;50
B013X;2022;11;22;LLUC;490;1003867;4424762;BALEARES;253091;394924;76;73;44;60;91;44
B013X;2022;11;23;LLUC;490;1003867;4424762;BALEARES;253091;394924;85;93;69;74;93;64
B013X;2022;11;24;LLUC;490;1003867;4424762;BALEARES;253091;394924;66;98;68;71;99;65
B013X;2022;11;25;LLUC;490;1003867;4424762;BALEARES;253091;394924;88;93;79;94;99;75
B013X;2022;11;26;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;74;97;99;46
B013X;2022;11;27;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;67;96;99;51
B013X;2022;11;28;LLUC;490;1003867;4424762;BALEARES;253091;394924;82;91;99;86;99;71
B013X;2022;11;29;LLUC;490;1003867;4424762;BALEARES;253091;394924;98;99;77;98;99;65
B013X;2022;11;30;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;96;74;90;99;65
B013X;2022;12;1;LLUC;490;1003867;4424762;BALEARES;253091;394924;94;92;87;96;99;84
B013X;2022;12;2;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;97;99;99;96
B013X;2022;12;3;LLUC;490;1003867;4424762;BALEARES;253091;394924;99;99;63;98;99;63
B013X;2022;12;4;LLUC;490;1003867;4424762;BALEARES;253091;394924;91;86;86;97;99;75
